,11: Star Wars: Episode IV - A New Hope (1977),12: Finding Nemo (2003),13: Forrest Gump (1994),14: American Beauty (1999),22: Pirates of the Caribbean: The Curse of the Black Pearl (2003),24: Kill Bill: Vol. 1 (2003),38: Eternal Sunshine of the Spotless Mind (2004),63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995),77: Memento (2000),85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
5136,4.5,5,5,4,5,5,5,3,,5
918,5,5,4.5,,3,,5,,5,
2824,4.5,,5,,4.5,4,,,5,
860,4,4,4.5,,2.5,3,,4,4.5,
442,3,,3,4,1,5,3,2,4,5
3556,4,4,4,4,3,5,,,,4
5261,,,5,,1.5,0.5,,4,5,
2492,4.5,3.5,3.5,3.5,4,4,,4,4,5
4942,,3.5,4,4,3.5,4,5,,5,3.5
2267,,,3.5,,,5,1.5,,4,
